BX-B-WWR-10-10-05;6000;Edelstahl 1.4521;22
BX-B-WWR-20-10-05;6000;Edelstahl 1.4521;22
CX-A-WKR-20-20-11;6000;Edelstahl 1.4521;22
CX-A-WKR-20-30-15;6000;Edelstahl 1.4521;22
DX-B-WKR-20-40-05;6000;Edelstahl 1.4521;22
DX-B-WKR-20-40-07;6000;Edelstahl 1.4521;22
DX-B-WKR-20-50-05;6000;Edelstahl 1.4521;22
BX-A-WKR-30-20-05;5823;Edelstahl 1.4521;22
FGX-A-WKR-20-40-10;175;Edelstahl 1.4521;22
BX-A-WKR-30-30-05;5823;Edelstahl 1.4521;22
BX-B-WWR-20-10-09;5766;Edelstahl 1.4521;22
AX-A-WKR-20-10-02;193;Edelstahl 1.4521;22
BX-B-WWR-10-10-07;3173;Edelstahl 1.4521;22
DX-A-WKR-20-30-05;2334;Edelstahl 1.4521;22
CX-A-WKR-20-20-13;3052;Edelstahl 1.4521;22
DX-B-WKR-20-40-19;2923;Edelstahl 1.4521;22
BX-B-WWV-10-10-05;6000;Edelstahl 1.4521;35
BX-B-WWV-20-10-05;6000;Edelstahl 1.4521;35
BX-B-WWV-20-10-09;5406;Edelstahl 1.4521;35
BX-B-WKR-20-10-05;6000;Edelstahl 1.4521;35
BX-A-WKR-30-10-27;6000;Edelstahl 1.4521;42
BX-A-WKR-30-10-41;6000;Edelstahl 1.4521;42
EX-A-WKR-30-10-61;6000;Edelstahl 1.4521;42
AX-A-WKR-20-10-13;6000;Edelstahl 1.4521;54
CX-A-WKR-20-10-35;6000;Edelstahl 1.4521;54
AX-A-WKR-10-10-13;6000;Edelstahl 1.4521;76.1
BX-A-WKR-10-10-07;6000;Edelstahl 1.4521;76.1
DX-A-WKR-10-10-50;6000;Edelstahl 1.4521;76.1
