BX-B-WWR-10-10-05;6000;Edelstahl 1.4521;22
BX-B-WWR-20-10-05;6000;Edelstahl 1.4521;22
CX-A-WKR-20-20-11;6000;Edelstahl 1.4521;22
CX-A-WKR-20-30-15;6000;Edelstahl 1.4521;22
DX-B-WKR-20-40-05;6000;Edelstahl 1.4521;22
BX-A-WKR-30-20-05;5823;Edelstahl 1.4521;22
FGX-A-WKR-20-40-10;175;Edelstahl 1.4521;22
BX-B-WWR-20-10-09;5766;Edelstahl 1.4521;22
BX-B-WWR-10-10-07;3173;Edelstahl 1.4521;22
BX-B-WWV-10-10-05;6000;Edelstahl 1.4521;35
BX-B-WWV-20-10-09;5406;Edelstahl 1.4521;35
BX-A-WKR-30-10-27;6000;Edelstahl 1.4521;42
